elevation,aspect,slope,hhdist,vhdist,hrdist,hfpdist,wilderness_area,soil_type,climate_zone,geologic_zone,target
2596.0,51.0,3.0,258.0,0.0,510.0,6279.0,rawah,7745,7,7,5.0
2590.0,56.0,2.0,212.0,-6.0,390.0,6225.0,rawah,7745,7,7,5.0
2804.0,139.0,9.0,268.0,65.0,3180.0,6121.0,rawah,4744,4,7,2.0
2785.0,155.0,18.0,242.0,118.0,3090.0,6211.0,rawah,7746,7,7,2.0
2595.0,45.0,2.0,153.0,-1.0,391.0,6172.0,rawah,7745,7,7,5.0
2579.0,132.0,6.0,300.0,-15.0,67.0,6031.0,rawah,7745,7,7,2.0
2606.0,45.0,7.0,270.0,5.0,633.0,6256.0,rawah,7745,7,7,5.0
2605.0,49.0,4.0,234.0,7.0,573.0,6228.0,rawah,7745,7,7,5.0
2617.0,45.0,9.0,240.0,56.0,666.0,6244.0,rawah,7745,7,7,5.0
2612.0,59.0,10.0,247.0,11.0,636.0,6230.0,rawah,7745,7,7,5.0
2612.0,201.0,4.0,180.0,51.0,735.0,6222.0,rawah,6731,6,7,5.0
2886.0,151.0,11.0,371.0,26.0,5253.0,4051.0,rawah,7746,7,7,2.0
2742.0,134.0,22.0,150.0,69.0,3215.0,6091.0,rawah,7746,7,7,2.0
2609.0,214.0,7.0,150.0,46.0,771.0,6211.0,rawah,6731,6,7,5.0
2503.0,157.0,4.0,67.0,4.0,674.0,5600.0,rawah,6731,6,7,5.0
2495.0,51.0,7.0,42.0,2.0,752.0,5576.0,rawah,6101,6,1,5.0
2610.0,259.0,1.0,120.0,-1.0,607.0,6096.0,rawah,7745,7,7,5.0
2517.0,72.0,7.0,85.0,6.0,595.0,5607.0,rawah,6731,6,7,5.0
2504.0,0.0,4.0,95.0,5.0,691.0,5572.0,rawah,6731,6,7,5.0
2503.0,38.0,5.0,85.0,10.0,741.0,5555.0,rawah,6731,6,7,5.0
2501.0,71.0,9.0,60.0,8.0,767.0,5547.0,rawah,6731,6,7,5.0
2880.0,209.0,17.0,216.0,30.0,4986.0,4323.0,rawah,7746,7,7,2.0
2768.0,114.0,23.0,192.0,82.0,3339.0,5972.0,rawah,7746,7,7,5.0
2511.0,54.0,8.0,124.0,0.0,638.0,5569.0,rawah,6731,6,7,5.0
2507.0,22.0,9.0,120.0,14.0,732.0,5534.0,rawah,6731,6,7,5.0
2492.0,135.0,6.0,0.0,0.0,860.0,5494.0,rawah,6731,6,7,5.0
2489.0,163.0,10.0,30.0,-4.0,849.0,5486.0,rawah,6731,6,7,5.0
2962.0,148.0,16.0,323.0,23.0,5916.0,3395.0,rawah,7745,7,7,2.0
2811.0,135.0,1.0,212.0,30.0,3670.0,5643.0,rawah,4744,4,7,2.0
2739.0,117.0,24.0,127.0,53.0,3281.0,6033.0,rawah,7746,7,7,5.0
2703.0,122.0,30.0,67.0,27.0,3191.0,6123.0,rawah,7746,7,7,5.0
2522.0,105.0,7.0,120.0,1.0,595.0,5569.0,rawah,6731,6,7,5.0
2519.0,102.0,6.0,124.0,4.0,616.0,5559.0,rawah,6731,6,7,5.0
2516.0,23.0,6.0,150.0,4.0,658.0,5541.0,rawah,6731,6,7,5.0
