elevation,aspect,slope,hhdist,vhdist,hrdist,hfpdist,wilderness_area,soil_type,climate_zone,geologic_zone,target
2621.0,162.0,13.0,60.0,-6.0,849.0,1521.0,comanche,7102,7,1,5.0
2664.0,112.0,5.0,60.0,-8.0,1214.0,1719.0,comanche,7102,7,1,5.0
2633.0,68.0,8.0,42.0,2.0,979.0,1594.0,comanche,7102,7,1,5.0
2662.0,105.0,5.0,30.0,-3.0,1211.0,1731.0,comanche,7102,7,1,5.0
2674.0,10.0,8.0,30.0,1.0,1295.0,1801.0,comanche,7102,7,1,5.0
2635.0,45.0,8.0,30.0,9.0,955.0,1624.0,comanche,7757,7,7,2.0
2650.0,26.0,19.0,60.0,19.0,1008.0,1771.0,comanche,7757,7,7,2.0
2644.0,9.0,32.0,210.0,87.0,847.0,1740.0,comanche,7757,7,7,2.0
2684.0,32.0,20.0,150.0,53.0,1110.0,1848.0,comanche,7757,7,7,2.0
2685.0,8.0,10.0,255.0,93.0,891.0,1830.0,comanche,7755,7,7,2.0
2766.0,31.0,7.0,120.0,15.0,1326.0,2214.0,comanche,7756,7,7,2.0
2780.0,346.0,13.0,90.0,29.0,1383.0,2248.0,comanche,7756,7,7,2.0
2725.0,353.0,19.0,30.0,14.0,1167.0,1994.0,comanche,7757,7,7,1.0
2786.0,49.0,16.0,240.0,97.0,1431.0,2190.0,comanche,7757,7,7,2.0
2747.0,329.0,19.0,201.0,71.0,878.0,2213.0,comanche,7757,7,7,2.0
2859.0,53.0,20.0,379.0,94.0,1213.0,2671.0,comanche,7757,7,7,2.0
2817.0,25.0,15.0,210.0,23.0,1392.0,2579.0,comanche,7757,7,7,2.0
2807.0,8.0,19.0,0.0,0.0,1507.0,2389.0,comanche,7102,7,1,1.0
2868.0,332.0,17.0,60.0,23.0,1718.0,2613.0,comanche,7757,7,7,2.0
2931.0,283.0,26.0,778.0,554.0,854.0,2642.0,comanche,7757,7,7,2.0
2552.0,4.0,19.0,60.0,24.0,792.0,1181.0,comanche,4704,4,7,5.0
2556.0,334.0,21.0,85.0,28.0,819.0,1155.0,comanche,4703,4,7,5.0
2566.0,326.0,11.0,256.0,87.0,755.0,1332.0,comanche,4704,4,7,5.0
2577.0,323.0,10.0,150.0,58.0,875.0,1159.0,comanche,4703,4,7,5.0
2959.0,2.0,9.0,721.0,186.0,1008.0,2555.0,comanche,7756,7,7,2.0
2675.0,42.0,13.0,60.0,14.0,1110.0,1560.0,comanche,7755,7,7,2.0
2553.0,235.0,17.0,351.0,95.0,780.0,1410.0,comanche,4704,4,7,3.0
2570.0,345.0,12.0,124.0,42.0,859.0,1222.0,comanche,4704,4,7,5.0
2885.0,61.0,27.0,384.0,103.0,1243.0,2100.0,comanche,7757,7,7,2.0
2902.0,54.0,23.0,391.0,120.0,1282.0,2130.0,comanche,7757,7,7,2.0
2836.0,14.0,18.0,30.0,11.0,1549.0,2704.0,comanche,7102,7,1,2.0
2988.0,29.0,18.0,404.0,145.0,1978.0,2818.0,comanche,7756,7,7,2.0
2422.0,45.0,11.0,85.0,13.0,631.0,1320.0,comanche,4703,4,7,2.0
2974.0,340.0,14.0,319.0,72.0,1572.0,2524.0,comanche,7757,7,7,2.0
3003.0,339.0,14.0,228.0,93.0,1879.0,2696.0,comanche,7757,7,7,2.0
2446.0,23.0,8.0,0.0,0.0,443.0,837.0,comanche,7102,7,1,6.0
2917.0,290.0,17.0,335.0,115.0,1624.0,2534.0,comanche,7756,7,7,2.0
2508.0,20.0,21.0,0.0,0.0,859.0,1651.0,comanche,7102,7,1,6.0
2437.0,349.0,12.0,30.0,4.0,997.0,1455.0,comanche,7102,7,1,6.0
2515.0,323.0,24.0,42.0,15.0,866.0,350.0,comanche,7757,7,7,6.0
2533.0,322.0,29.0,85.0,36.0,828.0,323.0,comanche,7757,7,7,6.0
2922.0,272.0,31.0,799.0,547.0,875.0,2136.0,comanche,7710,7,7,2.0
3003.0,328.0,16.0,408.0,93.0,1624.0,2419.0,comanche,7756,7,7,2.0
2475.0,352.0,16.0,0.0,0.0,541.0,847.0,comanche,7102,7,1,6.0
2455.0,121.0,18.0,0.0,0.0,1154.0,1556.0,comanche,2705,2,7,6.0
2447.0,2.0,8.0,0.0,0.0,1095.0,1537.0,comanche,7102,7,1,6.0
2525.0,337.0,17.0,30.0,9.0,949.0,450.0,comanche,7102,7,1,6.0
2551.0,324.0,27.0,108.0,49.0,891.0,390.0,comanche,7757,7,7,6.0
2597.0,321.0,28.0,192.0,105.0,806.0,361.0,comanche,7757,7,7,6.0
2604.0,31.0,21.0,319.0,125.0,703.0,379.0,comanche,7757,7,7,2.0
2532.0,44.0,21.0,30.0,8.0,953.0,1583.0,comanche,7102,7,1,6.0
2530.0,307.0,20.0,60.0,12.0,994.0,1626.0,comanche,7757,7,7,6.0
2598.0,274.0,24.0,210.0,80.0,1074.0,1706.0,comanche,7757,7,7,6.0
2822.0,347.0,24.0,228.0,50.0,1560.0,1645.0,comanche,7700,7,7,2.0
2581.0,308.0,25.0,170.0,76.0,912.0,437.0,comanche,7757,7,7,6.0
2494.0,331.0,12.0,0.0,0.0,626.0,886.0,comanche,7102,7,1,6.0
2879.0,43.0,23.0,218.0,97.0,1613.0,1914.0,comanche,7700,7,7,2.0
2591.0,122.0,26.0,85.0,43.0,1114.0,658.0,comanche,4758,4,7,3.0
2503.0,26.0,15.0,30.0,9.0,648.0,875.0,comanche,7102,7,1,6.0
2589.0,308.0,24.0,150.0,71.0,1116.0,1598.0,comanche,7757,7,7,6.0
2600.0,302.0,24.0,180.0,82.0,1132.0,1615.0,comanche,7757,7,7,6.0
2552.0,11.0,15.0,0.0,0.0,1075.0,1492.0,comanche,7102,7,1,6.0
2493.0,345.0,28.0,60.0,18.0,1158.0,1690.0,comanche,4703,4,7,6.0
2829.0,35.0,21.0,376.0,75.0,1651.0,1528.0,comanche,7700,7,7,2.0
2543.0,338.0,8.0,30.0,2.0,1120.0,624.0,comanche,7102,7,1,2.0
2645.0,313.0,17.0,319.0,143.0,895.0,510.0,comanche,7757,7,7,6.0
2651.0,328.0,15.0,339.0,151.0,876.0,511.0,comanche,7757,7,7,6.0
2522.0,54.0,19.0,60.0,22.0,700.0,882.0,comanche,7102,7,1,6.0
2847.0,291.0,36.0,743.0,354.0,934.0,1879.0,comanche,7710,7,7,2.0
2611.0,312.0,25.0,182.0,83.0,1061.0,598.0,comanche,7757,7,7,6.0
2621.0,320.0,25.0,212.0,98.0,1040.0,589.0,comanche,7757,7,7,6.0
2656.0,20.0,20.0,450.0,129.0,797.0,644.0,comanche,7757,7,7,2.0
2527.0,36.0,16.0,0.0,0.0,765.0,942.0,comanche,7102,7,1,6.0
3018.0,197.0,6.0,711.0,93.0,2123.0,2588.0,comanche,7756,7,7,2.0
2890.0,315.0,7.0,342.0,91.0,1595.0,1869.0,comanche,4758,4,7,2.0
3011.0,180.0,6.0,573.0,92.0,1982.0,2698.0,comanche,7756,7,7,2.0
2964.0,97.0,14.0,361.0,86.0,1704.0,2856.0,comanche,7756,7,7,2.0
2813.0,80.0,30.0,339.0,152.0,1691.0,1517.0,comanche,4758,4,7,2.0
2641.0,312.0,26.0,210.0,82.0,1084.0,648.0,comanche,7757,7,7,6.0
2694.0,339.0,22.0,420.0,184.0,957.0,633.0,comanche,7757,7,7,6.0
2544.0,39.0,17.0,0.0,0.0,824.0,979.0,comanche,7102,7,1,6.0
2594.0,80.0,19.0,268.0,72.0,1348.0,1550.0,comanche,2705,2,7,2.0
2611.0,296.0,28.0,120.0,52.0,1167.0,702.0,comanche,7757,7,7,6.0
2639.0,306.0,27.0,180.0,80.0,1126.0,684.0,comanche,7757,7,7,6.0
2671.0,320.0,26.0,270.0,112.0,1068.0,666.0,comanche,7757,7,7,6.0
2557.0,51.0,20.0,42.0,13.0,849.0,977.0,comanche,7102,7,1,6.0
2999.0,155.0,8.0,636.0,113.0,1731.0,2097.0,comanche,7756,7,7,2.0
3008.0,197.0,7.0,591.0,83.0,1996.0,2591.0,comanche,7756,7,7,2.0
2633.0,285.0,26.0,153.0,74.0,1168.0,721.0,comanche,7757,7,7,6.0
2510.0,323.0,21.0,30.0,12.0,1454.0,1752.0,comanche,4703,4,7,6.0
2584.0,306.0,20.0,60.0,16.0,1273.0,792.0,comanche,7757,7,7,6.0
2595.0,296.0,24.0,85.0,28.0,1252.0,780.0,comanche,7757,7,7,6.0
2765.0,339.0,25.0,402.0,71.0,1116.0,1092.0,comanche,7757,7,7,2.0
2529.0,319.0,25.0,60.0,31.0,1438.0,1758.0,comanche,4703,4,7,6.0
2538.0,318.0,27.0,85.0,37.0,1410.0,1782.0,comanche,4703,4,7,6.0
2992.0,227.0,16.0,607.0,106.0,1434.0,1852.0,comanche,7756,7,7,2.0
2683.0,296.0,28.0,256.0,124.0,1158.0,760.0,comanche,7757,7,7,6.0
2726.0,308.0,27.0,342.0,167.0,1107.0,751.0,comanche,7757,7,7,6.0
2751.0,317.0,22.0,430.0,192.0,1061.0,752.0,comanche,7757,7,7,6.0
2519.0,318.0,22.0,30.0,11.0,1505.0,1692.0,comanche,4758,4,7,6.0
2572.0,320.0,28.0,124.0,-40.0,1369.0,1814.0,comanche,4703,4,7,6.0
2588.0,36.0,15.0,30.0,10.0,1262.0,1914.0,comanche,4758,4,7,5.0
2770.0,325.0,24.0,466.0,211.0,1073.0,785.0,comanche,7757,7,7,6.0
2582.0,30.0,19.0,42.0,14.0,972.0,1012.0,comanche,7102,7,1,6.0
2589.0,333.0,13.0,30.0,5.0,1224.0,1950.0,comanche,4758,4,7,5.0
2969.0,167.0,13.0,228.0,67.0,1622.0,2735.0,comanche,7756,7,7,2.0
