elevation,aspect,slope,hhdist,vhdist,hrdist,hfpdist,wilderness_area,soil_type,climate_zone,geologic_zone,target
3007.0,323.0,5.0,124.0,0.0,722.0,1507.0,neota,7202,7,2,1.0
2981.0,297.0,10.0,30.0,4.0,750.0,1200.0,neota,7202,7,2,1.0
3056.0,356.0,6.0,283.0,27.0,1001.0,1224.0,neota,7202,7,2,2.0
3066.0,271.0,10.0,180.0,26.0,765.0,1865.0,neota,7700,7,7,1.0
3066.0,277.0,9.0,175.0,6.0,785.0,1860.0,neota,7700,7,7,1.0
3065.0,10.0,9.0,180.0,31.0,1091.0,1500.0,neota,7202,7,2,2.0
3086.0,291.0,6.0,458.0,57.0,949.0,1100.0,neota,7202,7,2,2.0
3063.0,315.0,2.0,534.0,109.0,792.0,875.0,neota,7202,7,2,2.0
3072.0,334.0,9.0,0.0,0.0,1084.0,1740.0,neota,7202,7,2,1.0
3091.0,74.0,3.0,180.0,6.0,1337.0,1505.0,neota,7202,7,2,2.0
3099.0,315.0,9.0,120.0,22.0,1110.0,1670.0,neota,7700,7,7,2.0
3012.0,324.0,13.0,210.0,22.0,324.0,324.0,neota,7201,7,2,1.0
3095.0,315.0,5.0,30.0,4.0,1279.0,1521.0,neota,7700,7,7,1.0
3106.0,358.0,5.0,67.0,4.0,1421.0,1339.0,neota,7202,7,2,1.0
3117.0,293.0,7.0,67.0,4.0,1294.0,1398.0,neota,7700,7,7,1.0
3061.0,313.0,10.0,60.0,18.0,162.0,474.0,neota,7201,7,2,1.0
3110.0,339.0,6.0,30.0,1.0,1400.0,1328.0,neota,7202,7,2,1.0
3113.0,343.0,6.0,42.0,2.0,1421.0,1300.0,neota,7202,7,2,1.0
3119.0,338.0,5.0,30.0,0.0,1421.0,1265.0,neota,7202,7,2,1.0
3041.0,301.0,1.0,120.0,8.0,190.0,573.0,neota,7201,7,2,1.0
3089.0,338.0,4.0,379.0,46.0,485.0,726.0,neota,7202,7,2,1.0
3091.0,338.0,5.0,437.0,48.0,541.0,765.0,neota,7201,7,2,1.0
3132.0,358.0,8.0,295.0,30.0,1511.0,1154.0,neota,7700,7,7,2.0
3107.0,325.0,6.0,679.0,-78.0,866.0,1032.0,neota,7202,7,2,2.0
3130.0,337.0,8.0,433.0,-55.0,1129.0,1019.0,neota,7202,7,2,1.0
3116.0,350.0,11.0,210.0,31.0,516.0,864.0,neota,7201,7,2,1.0
3129.0,8.0,7.0,270.0,44.0,624.0,969.0,neota,7201,7,2,1.0
3167.0,342.0,10.0,190.0,-18.0,1359.0,812.0,neota,7700,7,7,1.0
3135.0,346.0,8.0,402.0,-42.0,900.0,984.0,neota,7202,7,2,1.0
3147.0,354.0,9.0,270.0,-30.0,830.0,1041.0,neota,7201,7,2,1.0
3165.0,333.0,8.0,324.0,-20.0,1140.0,767.0,neota,7700,7,7,1.0
3189.0,277.0,6.0,0.0,0.0,1155.0,1092.0,neota,7700,7,7,1.0
3256.0,236.0,10.0,272.0,40.0,579.0,902.0,neota,7756,7,7,2.0
3250.0,279.0,17.0,153.0,34.0,677.0,1034.0,neota,7756,7,7,2.0
3164.0,343.0,9.0,170.0,-13.0,1022.0,853.0,neota,7201,7,2,1.0
3183.0,343.0,8.0,331.0,-2.0,1189.0,680.0,neota,7700,7,7,1.0
3141.0,300.0,8.0,306.0,-5.0,540.0,1371.0,neota,7202,7,2,1.0
3216.0,72.0,9.0,120.0,12.0,947.0,1053.0,neota,7756,7,7,1.0
3232.0,265.0,8.0,90.0,4.0,642.0,1236.0,neota,8776,8,7,1.0
3310.0,39.0,12.0,361.0,45.0,1084.0,603.0,neota,7756,7,7,1.0
3206.0,315.0,7.0,180.0,28.0,499.0,962.0,neota,7201,7,2,1.0
3141.0,312.0,12.0,577.0,-53.0,713.0,1315.0,neota,7201,7,2,2.0
3188.0,325.0,15.0,0.0,0.0,726.0,1072.0,neota,7700,7,7,2.0
3301.0,107.0,18.0,127.0,25.0,865.0,713.0,neota,7756,7,7,1.0
