elevation,aspect,slope,hhdist,vhdist,hrdist,hfpdist,wilderness_area,soil_type,climate_zone,geologic_zone,target
2011.0,344.0,17.0,313.0,29.0,404.0,300.0,poudre,2706,2,7,3.0
2022.0,24.0,13.0,391.0,42.0,509.0,421.0,poudre,2706,2,7,3.0
2038.0,50.0,17.0,408.0,71.0,474.0,283.0,poudre,2706,2,7,3.0
2018.0,341.0,27.0,351.0,34.0,390.0,190.0,poudre,2706,2,7,3.0
2074.0,348.0,18.0,499.0,107.0,566.0,277.0,poudre,2706,2,7,3.0
2089.0,41.0,19.0,424.0,81.0,510.0,350.0,poudre,2706,2,7,3.0
2018.0,303.0,24.0,60.0,23.0,120.0,228.0,poudre,2706,2,7,3.0
2102.0,33.0,12.0,382.0,94.0,480.0,342.0,poudre,2706,2,7,3.0
2025.0,288.0,26.0,67.0,30.0,120.0,256.0,poudre,2706,2,7,3.0
2097.0,23.0,16.0,408.0,89.0,516.0,342.0,poudre,2706,2,7,3.0
2121.0,345.0,29.0,564.0,113.0,671.0,365.0,poudre,2706,2,7,3.0
2121.0,28.0,26.0,571.0,160.0,680.0,306.0,poudre,2706,2,7,3.0
2020.0,74.0,18.0,301.0,59.0,430.0,67.0,poudre,2706,2,7,3.0
2044.0,276.0,25.0,108.0,49.0,153.0,277.0,poudre,2706,2,7,3.0
2047.0,31.0,21.0,216.0,54.0,272.0,277.0,poudre,2706,2,7,3.0
2050.0,3.0,13.0,201.0,54.0,297.0,309.0,poudre,2706,2,7,3.0
2092.0,262.0,17.0,309.0,84.0,417.0,242.0,poudre,2706,2,7,3.0
2160.0,349.0,12.0,532.0,158.0,636.0,361.0,poudre,2706,2,7,3.0
2090.0,0.0,29.0,201.0,82.0,309.0,190.0,poudre,2706,2,7,3.0
2092.0,352.0,27.0,228.0,84.0,335.0,182.0,poudre,2706,2,7,3.0
2167.0,320.0,16.0,488.0,165.0,589.0,300.0,poudre,2706,2,7,3.0
2125.0,64.0,27.0,543.0,164.0,607.0,342.0,poudre,2706,2,7,3.0
2173.0,50.0,28.0,124.0,100.0,212.0,552.0,poudre,2702,2,7,3.0
2092.0,59.0,25.0,90.0,28.0,150.0,503.0,poudre,4703,4,7,3.0
2008.0,226.0,32.0,30.0,12.0,108.0,295.0,poudre,2706,2,7,3.0
2119.0,26.0,35.0,437.0,158.0,474.0,309.0,poudre,2706,2,7,3.0
2113.0,251.0,33.0,150.0,105.0,247.0,127.0,poudre,2706,2,7,3.0
2088.0,66.0,33.0,313.0,131.0,351.0,301.0,poudre,2706,2,7,3.0
2170.0,334.0,26.0,379.0,168.0,481.0,162.0,poudre,2706,2,7,3.0
2172.0,325.0,20.0,313.0,170.0,420.0,95.0,poudre,2706,2,7,3.0
2027.0,272.0,37.0,60.0,26.0,150.0,180.0,poudre,2706,2,7,3.0
2161.0,113.0,32.0,458.0,142.0,524.0,390.0,poudre,2702,2,7,3.0
2223.0,294.0,21.0,212.0,151.0,108.0,511.0,poudre,2703,2,7,3.0
